Model	Count	Correct	False Positive	False Negative	PredictY	PredictN	Image Key	Prompt
./answers/Firstly,.json	1	1	0	0	0	1	There is an empty glass.##test1/test1-0-1-img0.png##test1/test1-0-1-img1.png	Firstly,##yes##the beer bottle is brown
./answers/First,.json	1	1	0	0	0	1	There is an empty glass.##test1/test1-0-1-img0.png##test1/test1-0-1-img1.png	First,##yes##this is a bottle
./answers/caption.json	8	1	0	0	1	0	The right image shows three bottles of beer lined up.##test1/test1-0-3-img0.png##test1/test1-0-3-img1.png	three bottles of cider next to a glass##three bottles of beer with different labels on them##
./answers/Firstly,.json	8	1	0	0	1	0	The right image shows three bottles of beer lined up.##test1/test1-0-3-img0.png##test1/test1-0-3-img1.png	Firstly,##yes##yes
./answers/First,.json	8	1	0	0	1	0	The right image shows three bottles of beer lined up.##test1/test1-0-3-img0.png##test1/test1-0-3-img1.png	First,##yes##yes
./answers/Let's think.json	8	1	0	0	1	0	The right image shows three bottles of beer lined up.##test1/test1-0-3-img0.png##test1/test1-0-3-img1.png	Let's think##beer bottle and a glass##no
./answers/caption.json	17	1	0	0	1	0	In at least one image there is at least two women dressed up in beer costumes.##test1/test1-66-2-img0.png##test1/test1-66-2-img1.png	a group of people are posing for a picture##three men are standing behind a blue sign##
./answers/Firstly,.json	17	1	0	0	1	0	In at least one image there is at least two women dressed up in beer costumes.##test1/test1-66-2-img0.png##test1/test1-66-2-img1.png	Firstly,##the people are wearing hoodies##the hoodies are black
./answers/Let's think.json	17	1	0	0	1	0	In at least one image there is at least two women dressed up in beer costumes.##test1/test1-66-2-img0.png##test1/test1-66-2-img1.png	Let's think##a woman##a man
./answers/caption.json	33	1	0	0	0	1	There are both cans and bottles.##test1/test1-875-2-img0.png##test1/test1-875-2-img1.png	a bunch of empty beer bottles sitting next to each other##a bunch of empty beer bottles sitting in boxes##
./answers/caption.json	34	1	0	0	1	0	The combined images include capped bottles, brown glass bottles and cans.##test1/test1-875-0-img0.png##test1/test1-875-0-img1.png	a bunch of beer bottles and cans on the floor##three bottles of beer sitting next to each other##
./answers/Firstly,.json	34	1	0	0	1	0	The combined images include capped bottles, brown glass bottles and cans.##test1/test1-875-0-img0.png##test1/test1-875-0-img1.png	Firstly,##a bunch of beer bottles##beer in the bottle
./answers/First,.json	34	1	0	0	1	0	The combined images include capped bottles, brown glass bottles and cans.##test1/test1-875-0-img0.png##test1/test1-875-0-img1.png	First,##a bunch of beer bottles##beer in the bottle
./answers/Let's think.json	34	1	0	0	1	0	The combined images include capped bottles, brown glass bottles and cans.##test1/test1-875-0-img0.png##test1/test1-875-0-img1.png	Let's think##beer##beer bottle
./answers/caption.json	38	1	0	0	1	0	An image shows a smiling young person extending an arm holding a dark glass beer bottle.##test1/test1-855-1-img0.png##test1/test1-855-1-img1.png	a woman is holding up a bottle of beer##three pictures of beer bottles and a glass of beer##
./answers/Firstly,.json	38	1	0	0	1	0	An image shows a smiling young person extending an arm holding a dark glass beer bottle.##test1/test1-855-1-img0.png##test1/test1-855-1-img1.png	Firstly,##a woman holding two bottles of beer##beer in the glass
./answers/First,.json	38	1	0	0	1	0	An image shows a smiling young person extending an arm holding a dark glass beer bottle.##test1/test1-855-1-img0.png##test1/test1-855-1-img1.png	First,##a woman holding two bottles of beer##beer in the glass
./answers/Let's think.json	38	1	0	0	1	0	An image shows a smiling young person extending an arm holding a dark glass beer bottle.##test1/test1-855-1-img0.png##test1/test1-855-1-img1.png	Let's think##a woman holding two bottles of beer##a glass of beer
./answers/caption.json	45	1	0	0	0	1	All of the items are room temperature.##test1/test1-647-1-img0.png##test1/test1-647-1-img1.png	a man and a woman are looking at a refrigerator in a supermarket##a display of bottles of beer in a store##
./answers/Let's think.json	45	1	0	0	0	1	All of the items are room temperature.##test1/test1-647-1-img0.png##test1/test1-647-1-img1.png	Let's think##this is a fridge##a bunch of bottles
./answers/caption.json	46	1	0	0	1	0	All of the items are room temperature.##test1/test1-647-3-img0.png##test1/test1-647-3-img1.png	a group of bottles of beer on a table##a shelf in a store filled with bottles of alcohol##
./answers/Firstly,.json	46	1	0	0	1	0	All of the items are room temperature.##test1/test1-647-3-img0.png##test1/test1-647-3-img1.png	Firstly,##this is a bottle##a shelf full of bottles
./answers/First,.json	46	1	0	0	1	0	All of the items are room temperature.##test1/test1-647-3-img0.png##test1/test1-647-3-img1.png	First,##this is a bottle##a shelf full of bottles
./answers/Let's think.json	46	1	0	0	1	0	All of the items are room temperature.##test1/test1-647-3-img0.png##test1/test1-647-3-img1.png	Let's think##beer##a bottle on the shelf
./answers/caption.json	47	1	0	0	0	1	None of the gloves pictured are black##test1/test1-601-2-img0.png##test1/test1-601-2-img1.png	a close up of a persons hand wearing a fur lined glove##a pair of black faux fur gloves on a white background##
./answers/caption.json	50	1	0	0	1	0	None of the gloves pictured are black##test1/test1-601-0-img0.png##test1/test1-601-0-img1.png	a persons hand wearing a brown glove with a fur trim##a pair of brown boots with fur on a white background##
./answers/Firstly,.json	50	1	0	0	1	0	None of the gloves pictured are black##test1/test1-601-0-img0.png##test1/test1-601-0-img1.png	Firstly,##yes##yes
./answers/First,.json	50	1	0	0	1	0	None of the gloves pictured are black##test1/test1-601-0-img0.png##test1/test1-601-0-img1.png	First,##yes##yes
./answers/Let's think.json	50	1	0	0	1	0	None of the gloves pictured are black##test1/test1-601-0-img0.png##test1/test1-601-0-img1.png	Let's think##fur on the glove##the boot 3d model
./answers/caption.json	53	1	0	0	0	1	The left image features a single fur-trimmed fingerless mitten with small embellishments dotting its front, and the right image shows a pair of fur-trimmed half-mitts with no thumb part showing.##test1/test1-601-3-img0.png##test1/test1-601-3-img1.png	two red hats with fur on a white background##a pair of red fuzzy boots on a white background##
./answers/caption.json	60	1	0	0	1	0	One of the girls is wearing a solid-colored hat, scarf and mittens.##test1/test1-653-0-img0.png##test1/test1-653-0-img1.png	a young woman wearing a yellow hat and scarf##a woman wearing a yellow and blue hat and scarf##
./answers/Firstly,.json	60	1	0	0	1	0	One of the girls is wearing a solid-colored hat, scarf and mittens.##test1/test1-653-0-img0.png##test1/test1-653-0-img1.png	Firstly,##knitted scarf and mittens##knitted hat and scarf of a penguin
./answers/First,.json	60	1	0	0	1	0	One of the girls is wearing a solid-colored hat, scarf and mittens.##test1/test1-653-0-img0.png##test1/test1-653-0-img1.png	First,##knitted scarf and mittens##knitted hat and scarf of the same design
./answers/Let's think.json	60	1	0	0	1	0	One of the girls is wearing a solid-colored hat, scarf and mittens.##test1/test1-653-0-img0.png##test1/test1-653-0-img1.png	Let's think##yellow knitted hat and scarf##knitted hat and scarf of the same design
./answers/caption.json	61	1	0	0	1	0	One of the girls is wearing a solid-colored hat, scarf and mittens.##test1/test1-653-1-img0.png##test1/test1-653-1-img1.png	a young woman wearing a blue hat and mittens##a young woman wearing a pink sweater and mittens##
./answers/Let's think.json	61	1	0	0	1	0	One of the girls is wearing a solid-colored hat, scarf and mittens.##test1/test1-653-1-img0.png##test1/test1-653-1-img1.png	Let's think##knitted hat with a pompom##the girl in the pink scarf
./answers/caption.json	63	1	0	0	0	1	Each image shows a complete mitten pair and no other garment.##test1/test1-140-1-img0.png##test1/test1-140-1-img1.png	a gray knit hat and gloves on a white background##a pair of mittens sitting next to each other##
./answers/caption.json	67	1	0	0	1	0	At least 2 regular mittens are stacked on top of each other.##test1/test1-140-0-img0.png##test1/test1-140-0-img1.png	a gray knit mitten sitting on a white surface##a pair of black knitted mittens laying in the snow##
./answers/Firstly,.json	67	1	0	0	1	0	At least 2 regular mittens are stacked on top of each other.##test1/test1-140-0-img0.png##test1/test1-140-0-img1.png	Firstly,##the mitten is gray##knitted mittens
./answers/First,.json	67	1	0	0	1	0	At least 2 regular mittens are stacked on top of each other.##test1/test1-140-0-img0.png##test1/test1-140-0-img1.png	First,##the mitten is gray##knitted mittens
./answers/Let's think.json	67	1	0	0	1	0	At least 2 regular mittens are stacked on top of each other.##test1/test1-140-0-img0.png##test1/test1-140-0-img1.png	Let's think##a glove##knitted material
./answers/caption.json	70	1	0	0	0	1	Each image contains a pair of hand coverings, and one image contains a pair of gloves with five full-length fingers that cover the finger tips.##test1/test1-346-3-img0.png##test1/test1-346-3-img1.png	a black batting glove on a white background##a pair of black winter gloves with fingerless gloves##
./answers/caption.json	73	1	0	0	0	1	At least one of the gloves has a company logo on it that includes the color red.##test1/test1-346-3-img0.png##test1/test1-346-3-img1.png	a black batting glove on a white background##a pair of black winter gloves with fingerless gloves##
./answers/Firstly,.json	73	1	0	0	0	1	At least one of the gloves has a company logo on it that includes the color red.##test1/test1-346-3-img0.png##test1/test1-346-3-img1.png	Firstly,##the glove is black##custom shop putter of the day
./answers/First,.json	73	1	0	0	0	1	At least one of the gloves has a company logo on it that includes the color red.##test1/test1-346-3-img0.png##test1/test1-346-3-img1.png	First,##the glove is black##custom shop putter of the day
./answers/Let's think.json	73	1	0	0	0	1	At least one of the gloves has a company logo on it that includes the color red.##test1/test1-346-3-img0.png##test1/test1-346-3-img1.png	Let's think##the glove##custom shop putter of the day
./answers/caption.json	80	1	0	0	0	1	The model in the right image wears matching mittens, scarf and pom-pom hat with a distinctive pattern of red stripes around a white stripe.##test1/test1-285-1-img0.png##test1/test1-285-1-img1.png	a woman wearing a hat and mittens holding a cell phone##a doll wearing a sweater and a hat and gloves##
./answers/Firstly,.json	80	1	0	0	0	1	The model in the right image wears matching mittens, scarf and pom-pom hat with a distinctive pattern of red stripes around a white stripe.##test1/test1-285-1-img0.png##test1/test1-285-1-img1.png	Firstly,##this is a hat##the gloves are red
./answers/First,.json	80	1	0	0	0	1	The model in the right image wears matching mittens, scarf and pom-pom hat with a distinctive pattern of red stripes around a white stripe.##test1/test1-285-1-img0.png##test1/test1-285-1-img1.png	First,##this is a hat##the gloves are red
./answers/Let's think.json	80	1	0	0	0	1	The model in the right image wears matching mittens, scarf and pom-pom hat with a distinctive pattern of red stripes around a white stripe.##test1/test1-285-1-img0.png##test1/test1-285-1-img1.png	Let's think##knitted hat and mittens##the girl
./answers/caption.json	89	1	0	0	1	0	There are two hands with gloves on them.##test1/test1-1035-3-img0.png##test1/test1-1035-3-img1.png	two hands with panda bear crochet mittens on them##a pair of mittens with white and brown fur##
./answers/caption.json	92	1	0	0	1	0	A person is modeling gloves in at least one of the images.##test1/test1-229-2-img0.png##test1/test1-229-2-img1.png	two pieces of fabric made to look like a chicken##a pair of hands wearing pink and brown wristbands##
./answers/Firstly,.json	92	1	0	0	1	0	A person is modeling gloves in at least one of the images.##test1/test1-229-2-img0.png##test1/test1-229-2-img1.png	Firstly,##the thumbs are purple##the buttons are gold
./answers/caption.json	94	1	0	0	1	0	A person is modeling gloves in at least one of the images.##test1/test1-229-3-img0.png##test1/test1-229-3-img1.png	a person wearing red and black mittens on their feet##a red glove sitting on top of a table##
./answers/Firstly,.json	94	1	0	0	1	0	A person is modeling gloves in at least one of the images.##test1/test1-229-3-img0.png##test1/test1-229-3-img1.png	Firstly,##a design on the sweater##this is a glove
./answers/First,.json	94	1	0	0	1	0	A person is modeling gloves in at least one of the images.##test1/test1-229-3-img0.png##test1/test1-229-3-img1.png	First,##a design on the sweater##the glove is red
./answers/Let's think.json	94	1	0	0	1	0	A person is modeling gloves in at least one of the images.##test1/test1-229-3-img0.png##test1/test1-229-3-img1.png	Let's think##the socks##finger on the hand
./answers/Firstly,.json	102	1	0	0	0	1	There are children standing by a door.##test1/test1-398-0-img0.png##test1/test1-398-0-img1.png	Firstly,##the mittens are pink##people are enjoying the outdoors
./answers/First,.json	102	1	0	0	0	1	There are children standing by a door.##test1/test1-398-0-img0.png##test1/test1-398-0-img1.png	First,##the mittens are pink##people are enjoying the outdoors
./answers/caption.json	108	1	0	0	0	1	The right image contains exactly one laptop.##test1/test1-400-3-img0.png##test1/test1-400-3-img1.png	a laptop computer sitting on top of a wooden table##two laptop computers sitting next to each other on a table##
./answers/caption.json	113	1	0	0	1	0	There is a smartphone in the right image.##test1/test1-491-0-img0.png##test1/test1-491-0-img1.png	a laptop computer sitting next to a computer monitor##a person using a laptop and a cell phone on a desk##
./answers/Firstly,.json	113	1	0	0	1	0	There is a smartphone in the right image.##test1/test1-491-0-img0.png##test1/test1-491-0-img1.png	Firstly,##yes##a mobile phone on a desk
./answers/First,.json	113	1	0	0	1	0	There is a smartphone in the right image.##test1/test1-491-0-img0.png##test1/test1-491-0-img1.png	First,##yes##a phone on a desk
./answers/Let's think.json	113	1	0	0	1	0	There is a smartphone in the right image.##test1/test1-491-0-img0.png##test1/test1-491-0-img1.png	Let's think##the computer##a woman's hands using a laptop and a smartphone
./answers/caption.json	115	1	0	0	1	0	There is a smartphone in the right image.##test1/test1-491-3-img0.png##test1/test1-491-3-img1.png	a laptop and a tablet on a desk in a hotel room##a laptop and a cell phone sitting on a table##
./answers/Firstly,.json	115	1	0	0	1	0	There is a smartphone in the right image.##test1/test1-491-3-img0.png##test1/test1-491-3-img1.png	Firstly,##a laptop on a table##a mobile phone and a laptop
